               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087734,            0.051548,                   0,             0.67662,             0.46994,             0.51215,             0.22816,            0.063925,            0.044519,                   0,            0.070037,           0.0033292,           0.0033292
                   1,            0.068291,            0.047585,                   0,             0.81045,             0.55219,             0.61213,             0.26362,              0.0608,            0.044308,                   0,            0.039905,           0.0065306,           0.0065306
                   2,            0.064496,            0.048102,                   0,             0.79743,             0.53737,             0.60109,             0.28304,            0.057536,            0.045713,                   0,           0.0096414,              0.0096,              0.0096
                   3,            0.061711,            0.047883,                   0,             0.83009,             0.57749,             0.64183,             0.31426,            0.054327,            0.043992,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.058624,             0.04681,                   0,             0.84131,             0.59388,             0.66119,             0.32984,            0.053295,            0.043032,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.05796,            0.046142,                   0,             0.84674,             0.61452,               0.677,             0.34639,            0.051788,            0.042549,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.05666,             0.04619,                   0,             0.84457,             0.61673,             0.68345,             0.34583,            0.051688,            0.042416,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.056068,            0.045165,                   0,             0.85283,             0.62319,             0.68912,             0.35619,            0.050911,            0.042773,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.056195,            0.046516,                   0,             0.85119,             0.61129,             0.68125,             0.35115,            0.051265,            0.042104,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.054785,            0.044471,                   0,             0.85469,              0.6156,             0.68642,             0.35091,            0.050948,            0.042117,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.054479,            0.044208,                   0,             0.84786,             0.61593,              0.6867,             0.35584,            0.050688,            0.041787,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.054677,            0.044385,                   0,             0.85941,             0.63603,             0.70509,             0.37013,            0.050051,            0.041856,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.054628,            0.044329,                   0,             0.86066,             0.63377,             0.70332,             0.36754,            0.050026,            0.041624,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.054564,             0.04456,                   0,             0.85123,             0.63269,             0.70079,             0.36444,            0.049975,            0.041875,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.053859,            0.044341,                   0,             0.85674,             0.63251,             0.70399,             0.37025,            0.049913,            0.041718,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.05337,             0.04343,                   0,             0.86381,             0.64028,             0.71126,             0.37353,            0.049509,            0.041946,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.052629,            0.042898,                   0,             0.86483,             0.63842,             0.71031,             0.37334,            0.049678,            0.041786,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.05331,            0.044157,                   0,             0.86784,             0.63854,             0.71308,             0.37755,            0.049239,             0.04144,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.053381,              0.0439,                   0,             0.86309,             0.64369,             0.71558,              0.3785,            0.049039,            0.041543,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.052374,            0.042971,                   0,              0.8594,             0.64368,             0.71418,             0.37751,            0.049045,            0.041643,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.052666,            0.043186,                   0,             0.86437,             0.65177,             0.72106,             0.38332,            0.048767,            0.041467,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.051699,            0.042517,                   0,             0.86728,             0.64499,             0.71771,             0.37757,            0.048994,            0.041423,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.05265,            0.043295,                   0,             0.87183,             0.65046,             0.72334,             0.38241,            0.048742,             0.04138,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.05176,            0.042488,                   0,                0.87,             0.65033,             0.72533,             0.38668,            0.048584,            0.041506,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.051456,            0.042165,                   0,             0.86573,             0.65283,             0.72505,             0.38551,            0.048573,            0.041327,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.051596,            0.042907,                   0,              0.8683,             0.65209,             0.72427,             0.38483,            0.048681,             0.04158,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.051624,            0.041906,                   0,              0.8729,             0.65409,             0.72926,             0.38844,            0.048563,            0.041443,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.050886,            0.041482,                   0,             0.86834,              0.6578,             0.73016,             0.39114,            0.048232,            0.041286,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.051113,            0.042101,                   0,             0.87095,             0.65658,                0.73,             0.38865,             0.04831,            0.041428,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.051064,            0.042456,                   0,             0.87122,             0.65641,             0.72868,             0.38872,            0.048333,            0.041481,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.050993,            0.041962,                   0,             0.86991,             0.65701,             0.73118,             0.38895,            0.048363,            0.041563,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.049672,            0.041255,                   0,             0.86565,             0.65742,             0.72963,             0.38911,            0.048339,            0.041688,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.050332,            0.042387,                   0,             0.86476,             0.66257,             0.73274,             0.39145,            0.048163,            0.041585,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.049664,            0.040779,                   0,             0.86924,             0.66354,             0.73577,             0.39455,            0.048104,            0.041535,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.050221,            0.041244,                   0,             0.87069,             0.66105,             0.73493,             0.39409,            0.048113,            0.041702,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.050099,            0.041582,                   0,             0.86842,             0.66289,              0.7371,             0.39497,            0.048031,            0.041568,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.049683,            0.040824,                   0,             0.86802,             0.66142,             0.73467,             0.39355,            0.048109,            0.041676,                   0,             0.00307,             0.00307,             0.00307
                  37,             0.04961,            0.040855,                   0,             0.87078,             0.66483,             0.73786,             0.39641,            0.047964,            0.041685,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.048933,             0.04003,                   0,             0.87186,             0.66054,             0.73686,             0.39527,            0.048024,            0.041967,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.049262,            0.040778,                   0,             0.87176,             0.66226,             0.73768,             0.39549,            0.048025,            0.041977,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.04944,            0.040032,                   0,              0.8775,             0.66046,             0.73819,             0.39719,             0.04801,            0.041931,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.048804,            0.040368,                   0,             0.87173,             0.66257,             0.73856,              0.3961,            0.048009,            0.041976,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.04848,            0.040587,                   0,             0.87237,             0.66631,             0.74167,             0.39869,            0.047898,            0.042013,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.048433,            0.039758,                   0,             0.86992,             0.66594,             0.74215,             0.39928,            0.047944,            0.042096,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.048486,            0.040148,                   0,             0.87198,             0.66321,             0.74065,             0.39771,            0.047922,            0.042241,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.047804,            0.038562,                   0,             0.87494,             0.66248,             0.74117,             0.39817,            0.047962,            0.042357,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.048149,            0.039559,                   0,             0.87333,             0.66295,             0.74112,             0.39756,            0.047996,            0.042426,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.047728,            0.038645,                   0,             0.87473,              0.6613,             0.74023,             0.39732,            0.048069,            0.042543,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.047662,            0.039359,                   0,             0.87009,              0.6648,             0.74167,             0.39792,            0.048088,            0.042686,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.047424,            0.038285,                   0,             0.86755,             0.66699,              0.7418,             0.39847,            0.048084,            0.042763,                   0,            0.000496,            0.000496,            0.000496
