               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081903,            0.072646,                   0,             0.48525,             0.33828,             0.31253,             0.10546,            0.063112,            0.058179,                   0,            0.070078,           0.0033247,           0.0033247
                   1,            0.062488,            0.069582,                   0,              0.6641,             0.43754,             0.47182,             0.19969,             0.05427,            0.057763,                   0,            0.039638,           0.0062186,           0.0062186
                   2,            0.059163,            0.068518,                   0,             0.70539,             0.48808,             0.52523,             0.22149,            0.053327,             0.05694,                   0,           0.0087589,           0.0086725,           0.0086725
                   3,            0.055094,            0.068874,                   0,             0.73063,             0.49532,             0.54362,             0.22165,            0.052434,            0.064666,                   0,             0.00802,             0.00802,             0.00802
                   4,             0.05205,            0.066469,                   0,             0.75271,             0.50092,             0.55227,             0.23874,             0.05017,            0.055401,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.050109,            0.064624,                   0,             0.78226,             0.54529,             0.60517,             0.27576,            0.048192,            0.054093,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.048664,            0.063653,                   0,             0.77713,             0.54199,             0.60252,             0.26434,            0.048644,            0.054671,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.047759,            0.062885,                   0,             0.78634,             0.56271,             0.61835,             0.28034,            0.046577,            0.052901,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.046882,            0.062643,                   0,             0.78506,             0.58104,             0.63349,             0.29888,            0.045403,            0.051661,                   0,             0.00538,             0.00538,             0.00538
                   9,               0.046,            0.060212,                   0,             0.79389,             0.57204,             0.63648,             0.29992,            0.045331,            0.052848,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.045659,             0.05995,                   0,             0.80823,             0.57151,             0.63482,             0.29427,            0.045354,            0.052059,                   0,             0.00406,             0.00406,             0.00406
                  11,             0.04459,            0.059499,                   0,             0.82155,             0.57774,             0.64359,             0.30325,            0.045073,            0.050695,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.044526,            0.058668,                   0,             0.81706,             0.58471,             0.65054,             0.30782,             0.04485,            0.050427,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.044001,            0.058193,                   0,             0.81313,             0.58067,             0.65229,             0.30204,            0.044842,            0.050842,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.043644,            0.058609,                   0,             0.81822,             0.60084,              0.6641,             0.31865,            0.043705,            0.050264,                   0,             0.00142,             0.00142,             0.00142
