               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1197,             0.06628,                   0,            0.036733,            0.034707,           0.0077659,           0.0021416,             0.11187,            0.058115,                   0,            0.070037,           0.0033292,           0.0033292
                   1,            0.097881,            0.060569,                   0,             0.50719,              0.2719,             0.26302,            0.096212,            0.081196,            0.054667,                   0,            0.039905,           0.0065306,           0.0065306
                   2,            0.084618,            0.058278,                   0,             0.59716,             0.33044,             0.34823,             0.13709,            0.075132,            0.053788,                   0,           0.0096414,              0.0096,              0.0096
                   3,            0.077141,            0.055888,                   0,             0.72825,             0.41507,             0.46539,             0.20671,            0.067202,             0.04892,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.071692,            0.054024,                   0,             0.75826,             0.45505,              0.5102,             0.22997,            0.064522,            0.048094,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.069929,            0.052456,                   0,             0.77238,             0.47365,             0.52935,             0.24712,            0.062442,            0.047318,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.067774,            0.052579,                   0,             0.78329,             0.48625,             0.54753,             0.25787,            0.061331,            0.046519,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.066467,            0.050998,                   0,               0.806,             0.50347,             0.56823,             0.27306,            0.060005,            0.046384,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.065982,            0.051932,                   0,             0.80359,             0.49958,              0.5619,             0.27007,              0.0596,            0.045852,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.064306,            0.049947,                   0,              0.8079,             0.51317,             0.57626,             0.27828,            0.058768,            0.045604,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.06377,             0.04961,                   0,             0.80711,             0.52554,             0.58962,             0.28976,            0.057999,              0.0454,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.063734,             0.04949,                   0,             0.81195,              0.5364,             0.59813,             0.29263,            0.057609,            0.045133,                   0,             0.00802,             0.00802,             0.00802
